country,city,location,date,susceptible,infected,delta_infected,recovered,deaths,density,pm25,pm10,pm1,particle_pollution,no2,co,so2,o3,aqi
Australia,Queensland,"Australia, Queensland",2020-01-23,5095100,0,0.0,0,0,3.3,27.8181818181818,25.4545454545455,,,3.68888888888889,2.275,1.5875,12.175,
Australia,Queensland,"Australia, Queensland",2020-01-24,5095100,0,0.0,0,0,3.3,42.0,31.1818181818182,,,3.18888888888889,3.0375,2.38571428571429,9.6875,
Australia,Queensland,"Australia, Queensland",2020-01-25,5095100,0,0.0,0,0,3.3,30.7,26.4,,,2.375,1.95714285714286,1.78,10.4571428571429,
Australia,Queensland,"Australia, Queensland",2020-01-26,5095100,0,0.0,0,0,3.3,25.2,17.0,,,3.025,2.6,2.07142857142857,13.7428571428571,
Australia,Queensland,"Australia, Queensland",2020-01-27,5095100,0,0.0,0,0,3.3,40.9,22.0,,,2.2,3.15714285714286,1.5,13.4428571428571,
Australia,Queensland,"Australia, Queensland",2020-01-28,5095100,0,0.5,0,0,3.3,29.8,18.6,,,3.3375,3.0,2.9,10.4285714285714,
Australia,Queensland,"Australia, Queensland",2020-01-29,5095099,1,1.5,0,0,3.3,34.9090909090909,20.1818181818182,,,3.2125,2.9125,1.27142857142857,12.45,
Australia,Queensland,"Australia, Queensland",2020-01-30,5095097,3,0.5,0,0,3.3,30.0,20.0,,,3.93333333333333,2.77142857142857,1.7125,13.4375,
Australia,Queensland,"Australia, Queensland",2020-01-31,5095098,2,0.0,0,0,3.3,45.6363636363636,26.9090909090909,,,4.4,2.72857142857143,3.37142857142857,12.625,
Australia,Queensland,"Australia, Queensland",2020-02-01,5095097,3,0.0,0,0,3.3,25.8181818181818,23.2727272727273,,,4.16666666666667,2.4125,2.15714285714286,12.65,38.0
Australia,Queensland,"Australia, Queensland",2020-02-02,5095098,2,-0.5,0,0,3.3,26.9090909090909,18.7272727272727,,,2.45555555555556,2.525,1.81428571428571,11.9125,25.0
Australia,Queensland,"Australia, Queensland",2020-02-03,5095098,2,0.5,0,0,3.3,20.0,14.9090909090909,,,2.47777777777778,2.3125,2.25,11.4625,32.0
Australia,Queensland,"Australia, Queensland",2020-02-04,5095097,3,0.5,0,0,3.3,36.4545454545455,22.3636363636364,,,2.27777777777778,2.95,2.44285714285714,11.85,40.0
Australia,Queensland,"Australia, Queensland",2020-02-05,5095097,3,0.5,0,0,3.3,22.9090909090909,17.0,,,2.8,2.375,2.37142857142857,10.125,43.0
Australia,Queensland,"Australia, Queensland",2020-02-06,5095096,4,1.0,0,0,3.3,26.7272727272727,16.3636363636364,,,3.87777777777778,2.6,1.4,9.075,46.0
Australia,Queensland,"Australia, Queensland",2020-02-07,5095095,5,0.5,0,0,3.3,29.1818181818182,16.9090909090909,,,3.61111111111111,2.6875,2.38333333333333,11.475,52.0
Australia,Queensland,"Australia, Queensland",2020-02-08,5095095,5,0.0,0,0,3.3,25.7272727272727,16.6363636363636,,,2.6625,2.775,1.51428571428571,11.125,74.0
Australia,Queensland,"Australia, Queensland",2020-02-09,5095095,5,0.0,0,0,3.3,15.7272727272727,15.6363636363636,,,1.66666666666667,2.4,1.11428571428571,10.95,110.0
Australia,Queensland,"Australia, Queensland",2020-02-10,5095095,5,0.0,0,0,3.3,19.8181818181818,15.7272727272727,,,3.31111111111111,2.5875,1.92857142857143,11.4625,73.0
Australia,Queensland,"Australia, Queensland",2020-02-11,5095095,5,0.0,0,0,3.3,22.1818181818182,15.0,,,3.77777777777778,2.3875,1.8375,13.3375,61.0
Australia,Queensland,"Australia, Queensland",2020-02-12,5095095,5,0.0,0,0,3.3,14.5454545454545,10.0909090909091,,,2.96666666666667,1.91428571428571,1.2,10.875,32.0
Australia,Queensland,"Australia, Queensland",2020-02-13,5095095,5,0.0,0,0,3.3,15.2727272727273,11.7272727272727,,,2.75555555555556,2.0625,1.18571428571429,8.9375,22.0
Australia,Queensland,"Australia, Queensland",2020-02-14,5095095,5,0.0,0,0,3.3,17.0909090909091,13.4545454545455,,,2.91111111111111,2.0375,1.75,10.225,21.0
Australia,Queensland,"Australia, Queensland",2020-02-15,5095095,5,0.0,0,0,3.3,19.0909090909091,13.7272727272727,,,2.73333333333333,1.9125,1.375,9.6,14.0
Australia,Queensland,"Australia, Queensland",2020-02-16,5095095,5,0.0,0,0,3.3,15.4545454545455,11.4545454545455,,,1.88888888888889,1.675,2.025,8.9125,17.0
Australia,Queensland,"Australia, Queensland",2020-02-17,5095095,5,0.0,0,0,3.3,16.0909090909091,12.2727272727273,,,4.11111111111111,2.1125,1.5,7.975,35.0
